KNN,SVM,XGBoost,DrugBank ID,SMILES
0,1,1,DB14943,C[C@@H]1C[C@H](N)C[C@@H](C1)C1=C(NC(=O)C2=NC(=C(F)C=C2)C2=C(F)C=CC=C2F)C=NC=C1
0,1,1,DB15051,O=C1N(CCN2[Se]C3=C(C=CC=C3)C2=O)[Se]C2=C1C=CC=C2
0,1,1,DB15079,CN(CC(=O)NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2)C(=O)CNC(=O)CN
0,1,1,DB15121,OC(=O)CC1=NN(CC2=NC3=C(S2)C=CC(=C3)C(F)(F)F)C(=O)C2=C1N=CC=N2
0,1,0,DB15199,N[C@@H](CCCNC(N)=N)C(=O)NCCCN1CCN(CCCNC(=O)[C@@H](N)CCCNC(N)=N)CC1
0,1,1,DB15251,CC(C)[C@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O)C(=O)N[C@@H](CCCNC(N)=N)C=O
0,1,1,DB15265,CC(C)N1CCC(CC1)N1CCCN(CC1)C1=CC=CC(=N1)C(=O)NC1=CC=NC=C1
0,1,1,DB15307,C[C@]1(C=CSC(N)=N1)C1=CC(NC(=O)C2=NC=C(C=C2)C#N)=CC=C1F
1,1,0,DB15381,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC1=C(C)C(=O)C2=C(C=CC=C2)C1=O
0,1,1,DB15382,FC1=CC=C(C=C1)C1=NN2C(SC3=CC=C4N=C(NC(=O)NCCN5CCOCC5)SC4=C3)=NN=C2C=C1
0,1,1,DB15391,C[C@H]1OC[C@@]2(N=C(N)SC[C@H]12)C1=CC(NC(=O)C2=NC=C(N=C2)C(F)F)=CC=C1F
0,1,1,DB15393,CNC(=O)C1=CC(COC2=C3OC=CC3=C(NC3=CC=C(Cl)C=C3)N=N2)=CC=N1
0,1,1,DB15414,[2H]C([2H])([2H])NC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
0,1,1,DB15419,ONC(=O)C1=CN=C(N=C1)N1C[C@H]2[C@@H](C1)[C@@H]2NCC1=NC2=CC=C(F)C=C2C=C1
1,1,0,DB15955,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CCC(C)=O
0,1,1,DB16025,OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O
0,1,1,DB16122,CC1=CC(=CC=C1)N1CCN(CCC2=CC=C3C=CC=CC3=N2)CC1
0,1,1,DB16339,CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1O[C@H](CNC(C)=O)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CCCCCCCCCCCCCC
0,1,1,DB16707,OC(=O)CC1=NN(CC2=NC3=CC(=CC=C3S2)C(F)(F)F)C(=O)C2=CSC=C12
0,1,1,DB16758,CC1=C(NC(=O)C2=CC(=NC3=C2C=CC(F)=C3)C(N)=O)C(=NN1CC1=CC=C(C=C1)C#N)C(F)(F)F
0,1,1,DB16838,CNC(=O)C1=NC=CC(OC2=CC=C3N=C(N[C@@H]4CCCC[C@H]4O)SC3=C2)=C1
0,1,1,DB16851,N#CC(C1=NC2=C(S1)C=CC=C2)C1=CC=NC(OCC2=CC=C(CN3CCOCC3)C=C2)=N1
1,0,1,DB16872,OCCN1CCN(CCS(O)(=O)=O)CC1
0,1,1,DB16878,CCOC1=CC2=C(C=C1)C(=NN(CC(=O)N(C)C1=CC3=C(C=C1)N=C(C)O3)C2=O)C1=CC=CC(F)=C1
0,1,1,DB16889,CCCCCCCCNC(=N)NC(=N)NCC1=CC(Cl)=C(Cl)C=C1
0,1,1,DB16954,CC(C)CN(CCCN1CCN(CCCNC2=NC3=CC=CC=C3N2)CC1)CC(C)C
0,1,1,DB16961,CC(C)C[C@H](NC(C)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C=O
1,1,0,DB17029,CN1C2=C(C=CC=C2)C2=C1C1=C(C3=C2C(=O)NC3)C2=CC=CC=C2N1CCC#N
1,0,1,DB17038,ClC1=C(NCCN2CCOCC2)C(=O)C2=C(C=CC=N2)C1=O
0,1,1,DB17071,CNCC1CCCCN1C(=O)OC1=CC=C(CNC(=O)CCCC\C=C\C(C)C)C=C1OC
0,1,1,DB17269,CN1C=C(C=N1)C1=CC2=C(C=C1)C=NC(NC(=O)C1=CC=NC(=C1)N1CCN(C)CC1)=C2
1,1,0,DB17549,CCN1[C@H]([C@H](C2=CC=CC(Cl)=C2F)[C@]2(C(=O)NC3=CC(Cl)=CC=C23)C11CCCCC1)C(=O)NC12CCC(CC1)(CC2)C(O)=O
1,1,0,DB17560,CNC[C@@H](NC(=O)C1=CC=C(C=C1F)C1=NC(=CN=C1N)[C@H]1CC[C@H](O)[C@@H](F)C1)C1=CC(F)=CC(Br)=C1
0,1,1,DB17692,FC1=CC=CN=C1CNC(=O)C1=COC(CCNCCC2=NC3=CC=CC=C3N2)=N1
0,1,1,DB18036,NC(=N)NC1=CC=C2CN(CCC(=O)NC(CC(O)=O)C3=CC=CN=C3)C(=O)C2=C1
0,1,1,DB18037,CC1=CC(O)=CC(C)=C1C[C@H](NC(=O)[C@H](N)CCCNC(N)=N)C(=O)N[C@@H](CCCCN)C1=NC(CC2=CC=CC=C2)=NO1
0,1,1,DB18060,CC1=CC(=CC=N1)C1=NC(=CO1)C(=O)NC1=C(N=C2N=C(OC2=C1)N1CCOCC1)N1CC[C@@H](O)C1
0,1,1,DB18068,ONC(=O)C1=NOC(CCNC(=O)C2=CC=C(Cl)C(Cl)=C2)=C1
1,1,0,DB18151,NC(CO)(CO)CCC1=CC=C(SC2=CC=CC(OCC3=CC=CC=C3)=C2)C=C1Cl
0,1,1,DB18345,CC(C)[C@H](NC(C)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(N)=O
1,0,0,DB18523,O=[186Re+3].CCN(CC)CCN(CCS)CC[S-].CCN(CC)CCN(CC[S-])CC[S-]
