KNN,SVM,XGBoost,DrugBank ID,SMILES
1,1,0,DB03542,[H][C@]1(O)[C@]([H])(O)[C@]([H])(O)[C@]([H])(OP([O-])([O-])=O)[C@@]([H])(O)[C@]1([H])O
0,1,1,DB03642,CC(C)C[C@H](NC(=O)C1=CC2=C(O1)C=CC=C2)C(=O)N[C@H]1CCCN(CC1=O)S(=O)(=O)C1=CC=CC=N1
1,0,1,DB03840,O.O.[Cu+4].[N-]1C=CN=C1.[N-]1C=CN=C1.[N-]1C=CN=C1.[N-]1C=CN=C1
0,1,1,DB03974,N[C@@H](CCCCNC(N)=N)C(O)=O
0,1,1,DB04008,[Zn++].NC(=[NH2+])C1=CC2=C([N-]C(CC3=NC4=C([N-]3)C=CC(=C4)C(N)=[NH2+])=N2)C=C1
0,1,1,DB04027,N[C@H](CCCNC(N)=N)C(O)=O
0,1,1,DB04071,NC(=O)C1=NC(=CC=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O
1,1,0,DB04073,[H]N([H])CCCN1CCN(CCCN([H])C(=O)C2=CC(=CC(O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)=C2)[N+]([O-])=O)CC1
1,1,0,DB04096,[H]N1[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)C1=O
0,1,1,DB04189,NC(=N)NCCC[C@H](NCCC(O)=O)C(O)=O
0,1,1,DB04350,CC(=O)NC(=N)NCCC[C@@H]1NC(=O)[C@H](CCCC(O)=O)NC(=O)[C@H](CC2=CNC=N2)N2[C@H](O)C[C@H](NC(=O)[C@H]3CCCN3C1=O)C2=O
0,1,1,DB04360,OB(O)C1=CC2=C(S1)C=CC=C2
0,1,1,DB04433,[H][C@@]12CCCN1C(=O)[C@H](CCCNC(N)=N)NC2=O
0,1,1,DB04446,NC(=[NH2+])C1=CC2=C(S1)C=CC=C2
0,1,1,DB04452,CC1=NC2=CC=C(NC(=O)NC3=CC4=C(C=C3)N=C(C)C=C4N)C=C2C(N)=C1
1,1,0,DB04465,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O
1,1,0,DB04526,[H][C@](O)(CO)[C@@]1([H])O[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(O)[C@]1([H])O
0,1,1,DB04571,CC1=CC2=CC3=C(OC(=O)C=C3C)C(C)=C2O1
0,1,1,DB04591,[H][C@@]1(CCCCN1)C(F)(F)CNC1=NC=CC2=C1N=C(CC1=CC=CC=C1N1C=NC=N1)O2
0,1,1,DB04595,CC(C)C[C@H](NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)NC(=O)C1=NOC(C)=C1)C(=O)N[C@H](\C=C\C(=O)OCC1=CC=CC=C1)C[C@@H]1CCNC1=O
0,1,1,DB04661,CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OS(O)(=O)=O)[C@H]1O)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC
