SMILES,title,"i_i_glide_lignum","docking_status","r_glide_cpu_time","r_i_docking_score","s_i_glide_gridfile","r_i_glide_gscore","r_i_glide_lipo","r_i_glide_hbond","r_i_glide_metal","r_i_glide_rewards","r_i_glide_evdw","r_i_glide_ecoul","r_i_glide_erotb","r_i_glide_esite","r_i_glide_emodel","r_i_glide_energy","r_i_glide_einternal"
COc1ccc(F)cc1C[C@@](O)(C1CCOCC1)[C@@H]1C[NH2+]CCO1,"ligprep_1.sdf:96",239,"NO POSES STORED FOR LIGAND",2.266,,,,,,,,,,,,,,
COc1ccc(F)cc1C[C@@](O)(C1CCOCC1)[C@@H]1C[NH2+]CCO1,"ligprep_1.sdf:96",241,"NO POSES STORED FOR LIGAND",1.75,,,,,,,,,,,,,,
