SMILES,title,"i_i_glide_lignum","docking_status","r_glide_cpu_time","r_i_docking_score","s_i_glide_gridfile","r_i_glide_gscore","r_i_glide_lipo","r_i_glide_hbond","r_i_glide_metal","r_i_glide_rewards","r_i_glide_evdw","r_i_glide_ecoul","r_i_glide_erotb","r_i_glide_esite","r_i_glide_emodel","r_i_glide_energy","r_i_glide_einternal"
CCCCCCCCNC(=[NH2+])N=C(N)NCc1ccc(Cl)c(Cl)c1,"ligprep_1.sdf:17",129,"NO POSES STORED FOR LIGAND",2.75,,,,,,,,,,,,,,
C[C@H]1C[C@H](OC(=O)[C@@H](O)c2ccccc2)CC(C)(C)C1,"4838",493,"NO POSES STORED FOR LIGAND",0.218,,,,,,,,,,,,,,
